"","1","1.1","1.5"
"Conditional.Test.Logic",0.243220180167413,0.24403495656581,0.247312508292509
"EmptyTest",0.243220180167413,0.2432745615304,0.243492169472812
"General.Fixture",0.243220180167413,0.243756748267707,0.245911031839794
"Lazy.Test",0.243220180167413,0.240745216457097,0.231018307127703
"Duplicate.Assert",0.243220180167413,0.243744649579399,0.245850181666316
"Unknown.Test",0.243220180167413,0.244380106026693,0.249057127125846
"IgnoredTest",0.243220180167413,0.243343738338897,0.243838396717227
"Resource.Optimism",0.243220180167413,0.243881566802526,0.246539277461469
"Redundant.Assertion_removed",0.243220180167413,0.243208624645602,0.243162406284216
"Sensitive.Equality_removed",0.243220180167413,0.243308033640159,0.243659662783839
"Eager.Test_removed",0.243220180167413,0.24323376842543,0.243288126608836
"Duplicate.Assert_removed",0.243220180167413,0.243235794601114,0.243298259137979
"Unknown.Test_removed",0.243220180167413,0.243806854110091,0.246163124666132
"Magic.Number.Test_removed",0.243220180167413,0.243101962269952,0.242629480841532
"Conditional.Test.Logic_added",0.243220180167413,0.243209971300697,0.243169138741865
"Mystery.Guest_added",0.243220180167413,0.243285344029407,0.243546117916114
"Duplicate.Assert_added",0.243220180167413,0.243302649499587,0.243632716510849
"IgnoredTest_added",0.243220180167413,0.243284382445472,0.243541306527326
