AR,CTL,CI,ET,ECT,GF,MG,PS,RA,SE,ST,EG,LT,DA,UT,IT,RO,MNT,project
8.862629246676514,14.937759336099585,-26.666666666666668,-66.66666666666666,-7.520713830465264,0.7575757575757576,-26.666666666666668,-50.0,-81.48148148148148,-18.404907975460123,12.244897959183673,21.406727828746178,10.361575822989746,11.948051948051948,5.189620758483033,41.66666666666667,-21.62162162162162,24.78777589134126,accumulo
133.50383631713555,92.42262540021345,54.90196078431373,inf,108.68596881959911,100.8130081300813,75.78947368421053,133.33333333333331,172.41379310344826,180.0,27.27272727272727,170.47619047619048,177.1565975353171,100.63157894736842,172.09302325581396,110.20408163265304,77.87610619469027,141.64133738601822,bookkeeper
32.40519756032882,33.088938476251194,61.53846153846154,-2.857142857142857,27.826205393625713,38.70631194574857,7.7555816686251475,6.666666666666667,-27.692307692307693,14.71861471861472,-8.403361344537815,36.737539212269084,46.953557733276526,43.17718940936864,45.195729537366546,48.77479579929989,32.020997375328086,32.302405498281786,camel
76.97160883280758,50.65616797900262,140.74074074074073,inf,56.59857700252468,107.10900473933648,62.295081967213115,36.0655737704918,75.86206896551724,110.1123595505618,48.78048780487805,74.65753424657534,67.98884412767276,70.31963470319634,48.8517745302714,62.03703703703704,62.99212598425197,65.97938144329896,cassandra
12.335092348284961,13.194444444444445,6.329113924050633,0.0,9.533451446891082,4.149377593360995,2.5500910746812386,35.8974358974359,12.244897959183673,4.900816802800467,24.154589371980677,8.81057268722467,10.825199645075422,11.387329591018444,-1.1560693641618496,-7.365439093484419,3.160270880361174,24.937833037300177,cxf
86.2809917355372,64.1711229946524,78.48101265822784,140.74074074074073,93.71447133344161,169.1034482758621,88.73239436619718,-50.0,54.54545454545454,121.21212121212122,49.31506849315068,100.76976906927922,88.03141077714595,75.4653130287648,117.10108073744436,137.82991202346042,85.34201954397395,90.26750142287992,flink
32.967032967032964,-3.3333333333333335,15.384615384615385,-28.57142857142857,8.960915157292659,51.42857142857142,0.0,-32.55813953488372,-46.15384615384615,3.389830508474576,inf,65.43778801843318,71.72675521821633,-4.878048780487805,8.064516129032258,0.0,-16.216216216216218,12.631578947368421,groovy
38.1758345086977,37.14637146371464,66.66666666666666,40.0,62.09576048451606,57.59463344513656,65.86826347305389,21.91780821917808,31.3588850174216,6.153846153846154,94.73684210526315,36.36363636363637,50.10922534027894,46.83626875407697,64.03867608776497,85.0909090909091,56.25,36.637931034482754,hive
142.1638018200202,134.45378151260505,136.8421052631579,66.66666666666666,138.92137751786876,177.7223607647548,29.268292682926827,200.0,171.42857142857142,180.0,138.46153846153845,142.10268948655255,142.89931470743278,127.0935960591133,148.5617597292724,153.48837209302326,48.421052631578945,124.0,kafka
35.35620052770449,17.72151898734177,0.0,0.0,26.557377049180324,54.11764705882353,19.35483870967742,42.30769230769231,0.0,72.0,133.33333333333331,51.78571428571429,53.54141656662665,17.543859649122805,13.584905660377359,68.4931506849315,24.0,37.185929648241206,karaf
-134.57777777777778,-118.30985915492957,-2.898550724637681,-200.0,-136.76975945017182,-190.50847457627117,-58.82352941176471,-150.0,-145.94594594594594,-150.0,200.0,-137.53026634382564,-135.19371444053104,-142.6791277258567,-155.15151515151516,191.52941176470588,-127.27272727272727,-135.0140056022409,wicket
48.93617021276596,34.92063492063492,52.63157894736842,0.0,43.048694424841216,65.8307210031348,25.31645569620253,22.22222222222222,0.0,21.27659574468085,24.561403508771928,61.92170818505338,73.60308285163777,35.65891472868217,22.459893048128343,42.857142857142854,28.235294117647058,43.29896907216495,zookeeper
46.674225245653815,35.825599719838905,45.10250569476082,34.146341463414636,44.07192928985065,49.31868131868132,51.44747725392887,25.899280575539567,22.75449101796407,79.84981226533166,33.68623676612127,48.01916344204901,47.05401650731388,45.94039054470709,41.92526915769474,39.647577092511014,47.899778924097276,47.06456334363311,hadoop
