,project,version,Constructor Initialization added,Default Test added,EmptyTest added,Exception Catching Throwing added,General Fixture added,Mystery Guest added,Print Statement added,Redundant Assertion added,Sensitive Equality added,Verbose Test added,Sleepy Test added,Eager Test added,Lazy Test added,Duplicate Assert added,Unknown Test added,IgnoredTest added,Resource Optimism added,Magic Number Test added,Dependent Test added,Constructor Initialization removed,Default Test removed,EmptyTest removed,Exception Catching Throwing removed,General Fixture removed,Mystery Guest removed,Print Statement removed,Redundant Assertion removed,Sensitive Equality removed,Verbose Test removed,Sleepy Test removed,Eager Test removed,Lazy Test removed,Duplicate Assert removed,Unknown Test removed,IgnoredTest removed,Resource Optimism removed,Magic Number Test removed,Dependent Test removed
0,accumulo,2016-08-10_TO_2017-02-10,0.0,0.0,1.0,384.0,136.0,10.0,4.0,40.0,53.0,1.0,0.0,291.0,3157.0,127.0,130.0,8.0,8.0,159.0,0.0,0.0,0.0,-1.0,-360.0,-134.0,-16.0,-4.0,-40.0,-54.0,-1.0,-1.0,-295.0,-3252.0,-127.0,-110.0,-8.0,-14.0,-145.0,0.0
1,bookkeeper,2017-02-14_TO_2017-08-14,0.0,0.0,0.0,294.0,155.0,59.0,6.0,1.0,1.0,0.0,70.0,171.0,716.0,62.0,7.0,22.0,60.0,79.0,0.0,0.0,0.0,0.0,-350.0,-171.0,-51.0,-4.0,-3.0,-1.0,0.0,-74.0,-184.0,-749.0,-82.0,-8.0,-26.0,-52.0,-115.0,0.0
2,camel,2016-10-29_TO_2017-04-29,0.0,0.0,2.0,1833.0,98.0,172.0,4.0,11.0,15.0,0.0,55.0,200.0,658.0,307.0,124.0,105.0,150.0,506.0,0.0,0.0,0.0,-2.0,-1643.0,-112.0,-172.0,-5.0,-10.0,-16.0,0.0,-49.0,-168.0,-608.0,-276.0,-128.0,-102.0,-155.0,-471.0,0.0
3,cassandra,2016-07-30_TO_2017-01-30,0.0,0.0,0.0,1479.0,62.0,145.0,16.0,20.0,53.0,9.0,76.0,11.0,34.0,249.0,540.0,153.0,154.0,405.0,0.0,0.0,0.0,0.0,-1494.0,-63.0,-151.0,-16.0,-22.0,-51.0,-9.0,-65.0,-11.0,-34.0,-257.0,-568.0,-156.0,-161.0,-427.0,0.0
4,cxf,2017-08-02_TO_2018-02-02,0.0,0.0,2.0,4645.0,793.0,234.0,30.0,46.0,488.0,0.0,151.0,1063.0,3947.0,597.0,1342.0,181.0,96.0,1595.0,0.0,0.0,0.0,-4.0,-4733.0,-807.0,-235.0,-30.0,-37.0,-487.0,0.0,-154.0,-1047.0,-3878.0,-593.0,-1364.0,-183.0,-97.0,-1587.0,0.0
5,flink,2016-07-29_TO_2017-01-29,0.0,0.0,29.0,2041.0,234.0,180.0,35.0,13.0,71.0,0.0,255.0,1548.0,13317.0,702.0,544.0,86.0,186.0,875.0,0.0,0.0,0.0,-32.0,-2159.0,-200.0,-189.0,-33.0,-15.0,-77.0,0.0,-264.0,-1625.0,-14616.0,-721.0,-581.0,-95.0,-194.0,-942.0,0.0
6,groovy,2016-07-10_TO_2017-01-10,0.0,0.0,0.0,65.0,41.0,2.0,19.0,15.0,2.0,0.0,0.0,27.0,104.0,4.0,15.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,-67.0,-43.0,-2.0,-16.0,-15.0,-2.0,0.0,0.0,-29.0,-110.0,-5.0,-15.0,-4.0,-2.0,-10.0,0.0
7,hive,2016-07-09_TO_2017-01-09,0.0,0.0,3.0,1513.0,823.0,70.0,65.0,66.0,220.0,7.0,24.0,222.0,1295.0,467.0,515.0,87.0,93.0,738.0,0.0,0.0,0.0,-2.0,-1481.0,-804.0,-55.0,-69.0,-65.0,-229.0,-6.0,-24.0,-293.0,-1698.0,-450.0,-503.0,-89.0,-76.0,-762.0,0.0
8,kafka,2016-08-14_TO_2017-02-14,0.0,0.0,3.0,1342.0,779.0,133.0,4.0,1.0,9.0,0.0,38.0,1419.0,8476.0,291.0,374.0,22.0,148.0,832.0,0.0,0.0,0.0,-4.0,-1356.0,-856.0,-131.0,-4.0,-1.0,-6.0,0.0,-38.0,-1412.0,-8443.0,-291.0,-412.0,-24.0,-144.0,-820.0,0.0
9,karaf,2016-08-01_TO_2017-02-01,0.0,0.0,0.0,136.0,19.0,5.0,8.0,0.0,1.0,0.0,1.0,29.0,141.0,6.0,91.0,4.0,3.0,27.0,0.0,0.0,0.0,0.0,-144.0,-19.0,-6.0,-11.0,0.0,0.0,0.0,-2.0,-24.0,-124.0,-6.0,-95.0,-7.0,-4.0,-23.0,0.0
10,wicket,2016-08-03_TO_2017-02-03,0.0,0.0,0.0,194.0,94.0,1.0,0.0,2.0,7.0,0.0,0.0,220.0,818.0,70.0,52.0,2.0,2.0,52.0,0.0,0.0,0.0,0.0,-203.0,-91.0,-3.0,0.0,-1.0,-7.0,0.0,0.0,-215.0,-759.0,-67.0,-52.0,-2.0,-3.0,-60.0,0.0
11,zookeeper,2016-09-23_TO_2017-03-23,0.0,0.0,0.0,113.0,56.0,41.0,0.0,2.0,3.0,0.0,18.0,30.0,107.0,24.0,49.0,3.0,45.0,21.0,0.0,0.0,0.0,0.0,-138.0,-40.0,-41.0,0.0,0.0,-3.0,0.0,-21.0,-26.0,-106.0,-21.0,-63.0,-5.0,-43.0,-19.0,0.0
